Anforderung,Titel,umgesetzt,Hinweis
A_27438,Durchführung der Generalprobe,nein,
A_27492-01,"ZETA Guard, OpenTelemetry Unterstützung",ja,
A_27496,Zeta Guard-Komponenten - Aufbereitung von Client Daten zum Monitoring,nein,
A_27725,"ZETA Guard, Telemetrie-Daten Service, Status Codes",nein,
A_27727,"ZETA Guard, Telemetrie-Daten Service, Default-Wert des Lieferintervalls",nein,
A_27728,"ZETA Guard, Telemetrie-Daten Service, Konfigurierbarkeit der Lieferintervalle",nein,
A_27798,"ZETA Guard, Service Discovery",ja,
A_27802,"ZETA Guard, JWT Prüfung",teilweise,
A_27853,"ZETA Guard, Responses mit Header ZETA-API-Version",nein,
A_27867,PDP Authorization Server - Session Management in der PDP Datenbank,ja,
A_28144,PDP Authorisation Server -  Länge der Nonce,teilweise,
A_28420,"ZETA Guard, Service Discovery – Bereitstellung ETag Header",nein,
A_28421,"ZETA Guard, Service Discovery – Unterstützung If-None-Match-Header",nein,
A_28422,"ZETA Guard, Service Discovery - Cache-Control-Header Direktiven",nein,
A_28425,"ZETA Client, Service Discovery – If-None-Match und ETag",nein,
A_28426,"ZETA Client, Service Discovery",nein,
A_28431,"ZETA Guard, Ablauf Dienst-zu-Dienst Kommunikation",nein,
A_28432,"ZETA Guard, Komponenten Ingress optional",nein,
A_28439,PEP HTTP Proxy - Unterstützung Forwarded-Header,nein,
A_28440,PDP Authorization Server - Auswertung Forwarded-Header,nein,
A_28464,"ZETA Guard, genau ein Authorization Server",nein,
A_28465,"ZETA Client, Registrierung mit mehreren ZETA Guard",nein,
A_28525,PEP HTTP Proxy - Step-up-Bedingung,nein,
A_28527,PDP Authorization Server - Gültigkeitsdauer Access und Refresh Token,nein,
GS-A_4384-03,TLS-Verbindungen,nein,
GS-A_5526,TLS-Renegotiation-Indication-Extension,nein,
GS-A_5542,TLS-Verbindungen (fatal Alert bei Abbrüchen),nein,
TIP1-A_6519,Eigenverantwortlicher Test: Hersteller und Anbieter,nein,
TIP1-A_6519-01,Eigenverantwortlicher Test: Hersteller und Anbieter,nein,
